name,image,ratings,no_of_ratings,discount_price,actual_price,category
"Amazon Basics High-Speed HDMI Cable - 10 Feet (Latest Standard) - Supports Ethernet, 3D, 4K video,Black",https://m.media-amazon.com/images/I/61GUctqz0-L._AC_UL800_.jpg,4.4,437651.0,379.0,995.0,Networking
"Amazon Basics High-Speed HDMI Cable, 6 Feet - Supports Ethernet, 3D, 4K video,Black",https://m.media-amazon.com/images/I/61pBvlYVPxL._AC_UL800_.jpg,4.4,437651.0,269.0,475.0,Networking
boAt Bassheads 100 in Ear Wired Earphones with Mic(Furious Red),https://m.media-amazon.com/images/I/61l+14s5QVL._AC_UL800_.jpg,4.1,375110.0,399.0,999.0,Audio
boAt Bassheads 100 Wired in Ear Earphones with Mic (Mint Green),https://m.media-amazon.com/images/I/51hf-Hst0aS._AC_UL800_.jpg,4.1,375110.0,399.0,999.0,Audio
"boAt BassHeads 100 Delhi Capitals Edition Wired in Ear Earphones with Super Extra Bass, with mic, Hawk Inspired Design and...",https://m.media-amazon.com/images/I/61nQVM32krL._AC_UL800_.jpg,4.1,375110.0,474.0,1499.0,Audio
boAt BassHeads 100 in-Ear Wired Headphones with Mic (Black),https://m.media-amazon.com/images/I/719elVA3FvL._AC_UL800_.jpg,4.1,375110.0,399.0,999.0,Audio
boAt BassHeads 100 in-Ear Wired Headphones with Mic (White),https://m.media-amazon.com/images/I/71e1SSUhZeL._AC_UL800_.jpg,4.1,375110.0,399.0,999.0,Audio
boAt Bassheads 100 Wired in Ear Earphones with Mic (Mint Orange),https://m.media-amazon.com/images/I/51WGHlpa-zS._AC_UL800_.jpg,4.1,375110.0,399.0,999.0,Audio
"Redmi 9 (Sporty Orange, 4GB RAM, 64GB Storage) | 2.3GHz Mediatek Helio G35 Octa core Processor",https://m.media-amazon.com/images/I/71A9Vo1BatL._AC_UL800_.jpg,4.1,319396.0,9990.0,10999.0,Smartphones
"Redmi 9A Sport (Carbon Black, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery",https://m.media-amazon.com/images/I/81T4O-rEI+L._AC_UL800_.jpg,4.1,319396.0,6499.0,7999.0,Smartphones
"Redmi 9A Sport (Coral Green, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery",https://m.media-amazon.com/images/I/810KHyQ4WcL._AC_UL800_.jpg,4.1,319396.0,6499.0,7999.0,Smartphones
"Redmi 9A Sport (Coral Green, 3GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery",https://m.media-amazon.com/images/I/810KHyQ4WcL._AC_UL800_.jpg,4.1,319396.0,7499.0,9499.0,Smartphones
"Redmi 9A Sport (Carbon Black, 3GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery",https://m.media-amazon.com/images/I/81T4O-rEI+L._AC_UL800_.jpg,4.1,319396.0,7499.0,9499.0,Smartphones
boAt BassHeads 220 Wired in Ear Earphones with Inline Mic(Black),https://m.media-amazon.com/images/I/61iSV4o+X-L._AC_UL800_.jpg,4.1,276491.0,399.0,999.0,Audio
boAt Bassheads 220 Wired in Ear Earphones(Raging Red Indi),https://m.media-amazon.com/images/I/61gs3SGzk4L._AC_UL800_.jpg,4.1,276491.0,399.0,999.0,Audio
boAt Bassheads 225 in Ear Wired Earphones with Mic(Red),https://m.media-amazon.com/images/I/61gs3SGzk4L._AC_UL800_.jpg,4.1,276491.0,699.0,999.0,Audio
boAt Bassheads 220 Wired in Ear Earphones with Mic(Raging Red),https://m.media-amazon.com/images/I/61gs3SGzk4L._AC_UL800_.jpg,4.1,276491.0,399.0,999.0,Audio
boAt Bassheads 225 in Ear Wired Earphones with Mic(Red),https://m.media-amazon.com/images/I/61gs3SGzk4L._AC_UL800_.jpg,4.1,276491.0,699.0,999.0,Audio
boAt Bassheads 220 Wired in Ear Earphones(Black Indi),https://m.media-amazon.com/images/I/61iSV4o+X-L._AC_UL800_.jpg,4.1,276491.0,399.0,999.0,Audio
boAt Bass Heads 225 in-Ear Wired Headphones with Mic (Forest Green),https://m.media-amazon.com/images/I/61sGfgrAaCL._AC_UL800_.jpg,4.1,276491.0,699.0,999.0,Audio
boAt Bassheads 220 Wired in Ear Earphones(Indi Blue),https://m.media-amazon.com/images/I/51JM8TpHVSL._AC_UL800_.jpg,4.1,276491.0,399.0,999.0,Audio
boAt BassHeads 225 Special Edition in-Ear Wired Headphones with Mic (Blue),https://m.media-amazon.com/images/I/61fo5RouiZL._AC_UL800_.jpg,4.1,276491.0,699.0,999.0,Audio
boAt Bassheads 220 in Ear Wired Earphones(Fiery Orange Indi),https://m.media-amazon.com/images/I/519UzRIcdGS._AC_UL800_.jpg,4.1,276491.0,399.0,999.0,Audio
boAt Bassheads 220 Wired in Ear Earphones with Inline Mic(Blue),https://m.media-amazon.com/images/I/51JM8TpHVSL._AC_UL800_.jpg,4.1,276491.0,499.0,999.0,Audio
boAt Bass Heads 225 in-Ear Wired Headphones with Mic (Neon Lime),https://m.media-amazon.com/images/I/61sgEDKoIZL._AC_UL800_.jpg,4.1,276491.0,622.0,999.0,Audio
boAt Bassheads 220 Wired in Ear Earphones(Indi Lime),https://m.media-amazon.com/images/I/61sgEDKoIZL._AC_UL800_.jpg,4.1,276491.0,399.0,999.0,Audio
boAt Bass Heads 225 in-Ear Wired Headphones with Mic (Frosty White),https://m.media-amazon.com/images/I/614SoGgLc2L._AC_UL800_.jpg,4.1,276491.0,699.0,999.0,Audio
"Redmi Note 10S (Cosmic Purple, 6GB RAM, 128GB Storage)  - Super Amoled Display | 64 MP Quad Camera | 6 Month Free Screen R...",https://m.media-amazon.com/images/I/81sZamLSPWL._AC_UL800_.jpg,4.2,221269.0,16499.0,18999.0,Smartphones
"Redmi Note 10S (Deep Sea Blue, 6GB RAM, 64GB Storage) - Super Amoled Display | 64 MP Quad Camera | 6 Month Free Screen Rep...",https://m.media-amazon.com/images/I/81B0HJigO-L._AC_UL800_.jpg,4.2,221269.0,14999.0,16999.0,Smartphones
SanDisk Extreme Pro SD UHS I 64GB Card for 4K Video for DSLR and Mirrorless Cameras 200MB/s Read & 90MB/s Write,https://m.media-amazon.com/images/I/81jIS+bsZlL._AC_UL800_.jpg,4.5,215311.0,1169.0,2600.0,Accessories
SanDisk Extreme Pro SD UHS I 128GB Card for 4K Video for DSLR and Mirrorless Cameras 200MB/s Read & 90MB/s Write,https://m.media-amazon.com/images/I/81wwLOgkLgL._AC_UL800_.jpg,4.5,215311.0,2108.0,5300.0,Accessories
SanDisk Extreme SD UHS I 64GB Card for 4K Video for DSLR and Mirrorless Cameras 170MB/s Read & 80MB/s Write,https://m.media-amazon.com/images/I/814l26oR+7L._AC_UL800_.jpg,4.5,215311.0,838.0,1800.0,Accessories
SanDisk Extreme SD UHS I 32GB Card for 4K Video for DSLR and Mirrorless Cameras 100MB/s Read & 60MB/s Write,https://m.media-amazon.com/images/I/81Azm8B5u5L._AC_UL800_.jpg,4.5,215311.0,599.0,1200.0,Accessories
SanDisk Extreme SD UHS I 32GB Card for 4K Video for DSLR and Mirrorless Cameras 100MB/s Read & 60MB/s Write,https://m.media-amazon.com/images/I/81Azm8B5u5L._AC_UL800_.jpg,4.5,215311.0,599.0,1200.0,Accessories
SanDisk Extreme SD UHS I 128GB Card for 4K Video for DSLR and Mirrorless Cameras 180MB/s Read & 90MB/s Write,https://m.media-amazon.com/images/I/81Rivcu2p4L._AC_UL800_.jpg,4.5,215311.0,1529.0,3700.0,Accessories
SanDisk Extreme SD UHS I 256GB Card for 4K Video for DSLR and Mirrorless Cameras 180MB/s Read & 130MB/s Write,https://m.media-amazon.com/images/I/81tgPQEqsOL._AC_UL800_.jpg,4.5,215311.0,3049.0,7400.0,Accessories
"JBL C100SI Wired In Ear Headphones with Mic, JBL Pure Bass Sound, One Button Multi-function Remote, Premium Metallic Finis...",https://m.media-amazon.com/images/I/61Xoai3CG2L._AC_UL800_.jpg,4.1,194685.0,599.0,1299.0,Audio
"JBL C100SI Wired In Ear Headphones with Mic, JBL Pure Bass Sound, One Button Multi-function Remote, Angled Buds for Comfor...",https://m.media-amazon.com/images/I/51Q8DUDT2eL._AC_UL800_.jpg,4.1,194685.0,599.0,1299.0,Audio
SanDisk Ultra Dual 32 GB USB 3.0 OTG Pen Drive (Black),https://m.media-amazon.com/images/I/71bV203ASmL._AC_UL800_.jpg,4.3,191346.0,429.0,850.0,Accessories
SanDisk Ultra Dual 64GB USB 3.0 OTG Pen Drive (Gold),https://m.media-amazon.com/images/I/71XhIekR2GL._AC_UL800_.jpg,4.3,191346.0,799.0,1050.0,Accessories
"SanDisk Ultra USB 3.0 256 GB Pen Drive (SDDD3-256G-I35, Black, Silver)",https://m.media-amazon.com/images/I/71bV203ASmL._AC_UL800_.jpg,4.3,191346.0,1909.0,5200.0,Accessories
SanDisk SDDD3-032G-I35GW Ultra Dual 32GB USB 3.0 OTG Pen Drive (Gold),https://m.media-amazon.com/images/I/81YWBcTx14L._AC_UL800_.jpg,4.3,191346.0,429.0,850.0,Accessories
SanDisk Ultra Dual 64 GB USB 3.0 OTG Pen Drive (Black),https://m.media-amazon.com/images/I/71bV203ASmL._AC_UL800_.jpg,4.3,191346.0,549.0,1400.0,Accessories
SanDisk Ultra Dual SDDD3-128G-I35 USB 3.0 128GB Flash Drive (Dual Micro-USB and USB 3.0 connectors),https://m.media-amazon.com/images/I/71bV203ASmL._AC_UL800_.jpg,4.3,191346.0,1295.0,2650.0,Accessories
"boAt Airdopes 121v2 in-Ear True Wireless Earbuds with Upto 14 Hours Playback, 8MM Drivers, Battery Indicators, Lightweight...",https://m.media-amazon.com/images/I/510+wjzq-vL._AC_UL800_.jpg,3.8,188031.0,1099.0,2990.0,Audio
"boAt Airdopes 121 PRO True Wireless in Ear Earbuds Signature Sound, Quad Mic ENx, Beast Mode for Gaming, 40H Playtime, IW...",https://m.media-amazon.com/images/I/51dvwgnEp2L._AC_UL800_.jpg,3.8,188031.0,1499.0,2990.0,Audio
"boAt Airdopes 121v2 in-Ear True Wireless Earbuds with Upto 14 Hours Playback, 8MM Drivers, Battery Indicators, Lightweight...",https://m.media-amazon.com/images/I/51MVfB-9YmL._AC_UL800_.jpg,3.8,188031.0,1199.0,2990.0,Audio
"boAt Airdopes 121 PRO True Wireless in Ear Earbuds Signature Sound, Quad Mic ENx, Beast Mode for Gaming, 40H Playtime, IW...",https://m.media-amazon.com/images/I/51JIuiGkP9L._AC_UL800_.jpg,3.8,188031.0,1499.0,2990.0,Audio
"TP-LINK TL-WN821N 300 MBPS WiFi WI-FI Wireless N USB Adapter, MIMO, WPS Button, Supports Windows 11/10/8.1/8/7/XP, Mac OS ...",https://m.media-amazon.com/images/I/41Dw7T93RBL._AC_UL800_.jpg,4.2,183124.0,699.0,1499.0,Accessories
"TP-Link Nano USB WiFi Dongle 150Mbps High Gain Wireless Network Wi-Fi Adapter for PC Desktop and Laptops, Supports Windows...",https://m.media-amazon.com/images/I/51YRuNnOOxL._AC_UL800_.jpg,4.2,183124.0,699.0,1339.0,Accessories
"TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible w...",https://m.media-amazon.com/images/I/61e61vCPY6L._AC_UL800_.jpg,4.2,183124.0,499.0,999.0,Accessories
TP-LINK WiFi Dongle 300 Mbps Mini Wireless Network USB Wi-Fi Adapter for PC Desktop Laptop(Supports Windows 11/10/8.1/8/7/...,https://m.media-amazon.com/images/I/51jwC4tyEXL._AC_UL800_.jpg,4.2,183124.0,599.0,1399.0,Accessories
TP-Link USB WiFi Dongle 300Mbps High Gain Wireless Network Wi-Fi Adapter for PC Desktop and Laptops. Supports Win10/8.1/8/...,https://m.media-amazon.com/images/I/61qxYy+hF7L._AC_UL800_.jpg,4.2,183124.0,899.0,2499.0,Accessories
"Amazon Basics USB A to Lightning MFi Certified Charging Cable (White, 1.2 meter)",https://m.media-amazon.com/images/I/51jntETvtOL._AC_UL800_.jpg,4.1,179133.0,859.0,1999.0,Accessories
"boAt Airdopes 141 Bluetooth Truly Wireless in Ear Earbuds with 42H Playtime, Beast Mode(Low Latency Upto 80ms) for Gaming,...",https://m.media-amazon.com/images/I/516MceMiCdL._AC_UL800_.jpg,3.9,172347.0,1299.0,4490.0,Audio
"boAt Airdopes 141 Pro True Wireless in Ear Earbuds with 45H Playtime, Quad Mics Enx Tech, 12mm Drivers, ASAP Charge, Beast...",https://m.media-amazon.com/images/I/41TWloBD6XL._AC_UL800_.jpg,3.9,172347.0,1399.0,2990.0,Audio
"boAt Airdopes 141 Bluetooth Truly Wireless in Ear Earbuds with mic, 42H Playtime, Beast Mode(Low Latency Upto 80ms) for Ga...",https://m.media-amazon.com/images/I/51HBom8xz7L._AC_UL800_.jpg,3.9,172347.0,1299.0,3995.0,Audio
